File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
63651c7c-c17a-46d3-8720-c6e52ce1e4c2	dfb9b39b-08cd-42c3-b59f-22eb1cfa0b53.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-A6EZ	TCGA-D7-A6EZ-01A	Primary Tumor
422e3ddb-a9b6-4528-81bc-18a438e94d23	6349132e-e881-4f96-9697-915a55206f70.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8680	TCGA-BR-8680-01A	Primary Tumor
7e042c9c-9f05-4395-8e8a-2ad8663a6566	aca7074f-cb2e-479f-813f-aabb6c1a1022.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8059	TCGA-BR-8059-01A	Primary Tumor
0b71b998-f6c2-4377-a7e0-d204bbe3ab7a	e6fd3732-7e90-46ec-82fc-d1dcb8849e67.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-6802	TCGA-BR-6802-01A	Primary Tumor
ba8c1497-d1ac-4774-9961-30ac92112b3b	d12e3c11-bf04-4113-b8ed-f96e74fea205.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A91D	TCGA-VQ-A91D-01A	Primary Tumor
f35c61f2-3612-46ee-99ee-8c853d24eaa2	cf100983-e310-461d-b4e8-b5b9acf3eb7c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-5734	TCGA-CG-5734-01A	Primary Tumor
7e61b345-4ff0-4717-82fd-bac1ae50e9eb	b5ac3f5d-81ea-4ade-a653-be94faf73911.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-6525	TCGA-D7-6525-01A	Primary Tumor
88e26bc4-41db-4243-add7-af3805807a6a	87e0f186-66f2-4456-8ef1-394995a6f787.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-6706	TCGA-BR-6706-01A	Primary Tumor
9b1e5561-6397-43f4-a096-2914501817fd	58bce7eb-5cda-4595-b645-d128c45e7054.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8DT	TCGA-VQ-A8DT-01A	Primary Tumor
1591d97a-2d89-4dcb-a259-c8b40abe74a1	239f8a86-abe1-4db6-98f1-a695f2a818cc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-6802	TCGA-BR-6802-11A	Solid Tissue Normal
4581a210-4272-4285-b175-2bddc4050282	7e88334c-f492-4ccb-87c7-3033fefafaee.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8E7	TCGA-VQ-A8E7-01B	Primary Tumor
4a44fea8-96bd-42e7-8890-b73e41e5132a	07952543-a0d5-4b90-98df-931911348067.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-7717	TCGA-BR-7717-11A	Solid Tissue Normal
a7c04620-a7f0-4b19-b2ae-7b479fcd3fb0	991525f1-7bed-438d-8f95-797f06bbd553.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-7717	TCGA-BR-7717-01A	Primary Tumor
3f65e44e-921f-4eac-a8e1-97ae3df4e758	b5022139-cc8a-40ca-b249-19d4431ceee6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8589	TCGA-BR-8589-01A	Primary Tumor
5a25e822-906b-4d34-9f9d-a9f1506570b3	1ddc63d7-ac43-4476-b5c2-8b4da89bf752.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-6818	TCGA-D7-6818-01A	Primary Tumor
deccb24c-efe1-4902-b549-d645594a408d	f979724b-e654-411a-812d-102590d2830e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A91S	TCGA-VQ-A91S-01A	Primary Tumor
f4c98833-0b1f-43d1-a67a-4de6fbf06464	e9c13310-b6a4-411e-808c-2df5fd0e1e24.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-8608	TCGA-HU-8608-01A	Primary Tumor
5725a5ee-e001-4e39-a896-3458eb3015b5	d2d8ba97-c42c-421d-9452-09befddb4c75.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8590	TCGA-BR-8590-01A	Primary Tumor
952b3781-a5b8-4c2f-8ed9-abb3aa746a4a	dffc091a-cc44-471e-8288-610eb64a809c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4HD	TCGA-HU-A4HD-01A	Primary Tumor
b769baa1-1cca-40c2-9279-c0aa312f4bad	903b4bb1-bd9c-47df-80ae-d47b74d87f15.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CD-A4MI	TCGA-CD-A4MI-01A	Primary Tumor
d2eec202-28d6-47a4-8ca2-f2ac04ff09e7	34476788-3d87-46a3-934f-d0e83fc78914.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8483	TCGA-BR-8483-01A	Primary Tumor
e64a2b4d-9e8b-4a1b-b648-d5c0f17aaebb	bb42384c-80ad-4b0d-97f3-2b58c17f3e30.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-AA64	TCGA-VQ-AA64-01A	Primary Tumor
421c005c-a0c6-4cca-8e65-7f99a62c9498	01ae3ff4-a01f-45aa-b7c3-78b81dc4a005.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CD-5801	TCGA-CD-5801-01A	Primary Tumor
117cb831-f850-43dd-a75a-72e2e8564668	e86d5656-a703-4d14-9042-d2f9d3925c07.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8PP	TCGA-VQ-A8PP-01A	Primary Tumor
52e295a1-0e9a-475c-b841-bc340dd140df	f104edea-08ee-4add-b115-01b208d6c2c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-AA6A	TCGA-VQ-AA6A-01A	Primary Tumor
c087c003-a913-42e4-b02f-0db3b47d7ae3	e05717c4-8e4d-479e-beb7-162122b12875.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8P3	TCGA-VQ-A8P3-01A	Primary Tumor
c1bbf114-1078-4925-8cb5-6772fe199cdb	44b89131-757f-4f93-9e83-b7011ee83266.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-5721	TCGA-CG-5721-11A	Solid Tissue Normal
3e8f807f-227a-4216-bdd1-781b6c1de9a8	d6bb74ac-b86e-4134-b5ef-0e8829bca812.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8372	TCGA-BR-8372-01A	Primary Tumor
458f249d-8372-4e61-8a49-d9e976a17ea5	d57ad3e5-8f4f-4a5e-a1a6-ab0201be6c03.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8DU	TCGA-VQ-A8DU-01A	Primary Tumor
d918b49b-9fd2-4353-bd19-92dc3d7a5f8a	7763cc7c-8b33-46ec-9614-b6eafc7a3191.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-5721	TCGA-CG-5721-01A	Primary Tumor
a64fb136-5967-4826-9b32-e1f580e08ea3	c4150499-8f97-40ee-b1ed-96aa509ea67c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A925	TCGA-VQ-A925-01A	Primary Tumor
c8e93387-2eb7-4089-8c65-675087a7b54c	26f5cb9f-12b0-4043-b081-55373b483766.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-4444	TCGA-CG-4444-01A	Primary Tumor
aba205da-5d75-4fe2-a5b7-929ef4ab0b55	bfd72dc7-80e8-416b-8876-bc9e4dc5ac11.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-6817	TCGA-D7-6817-01A	Primary Tumor
a6f861af-5db9-4254-8311-f2cf46dd29d7	e98c0785-67eb-4af8-99db-c9ff4f3ade80.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8384	TCGA-BR-8384-01A	Primary Tumor
c57b5865-1190-4853-9a18-477b0c1ccb55	365c5735-dce4-412a-803e-03e43ec829a5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-R5-A805	TCGA-R5-A805-01A	Primary Tumor
ff786046-d2a8-43b7-8c01-fed46ba3acb8	4f55a7ef-4125-4de8-9a50-8d50f766c5f2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-4306	TCGA-CG-4306-01A	Primary Tumor
0f5b4487-e417-48f7-9cc9-03335c089d94	1d586b59-9a32-4cfc-b8dc-fa5bc0869a45.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4GC	TCGA-HU-A4GC-01A	Primary Tumor
c3c6519e-fae9-4c38-b4fe-4ffad6d1e30d	60f82eb6-9d8f-4466-b3fb-d62739d8ded8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8484	TCGA-BR-8484-01A	Primary Tumor
261bd231-99cd-4209-8c39-6bd2b14c47f2	451debf2-f295-42ce-b1ad-8c714f4848d0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-EQ-A4SO	TCGA-EQ-A4SO-01A	Primary Tumor
